S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2025_PWDAP_2049_1,1,Construction of OCR Building and Residential Building at Tawang under SIB Itanagar.,Public Works Department||CE (PWD) North West Zone - PWDAP||CIRCLE-Tawang - PWDAP||DIV- Tawang - PWDAP,AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sp7GrJD4%2BONSoLT%2Bkln74uA%3D%3D
2,2025_ARED_2053_1,1,"Construction of Administrative block at Govt. Model college, Basar",DEPARTMENT OF EDUCATION ARUNACHAL PRADESH||ENGINEERING WING DEPARTMENT OF EDUCATION ITANAGAR,AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SGVCNxGLnKZCZgP579nXUvg%3D%3D
3,2025_ARED_2052_1,1,"Infrastructure development of Govt. College, Doimukh",DEPARTMENT OF EDUCATION ARUNACHAL PRADESH||ENGINEERING WING DEPARTMENT OF EDUCATION ITANAGAR,AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SBvLZfr2zFHTnaMRF8NKgxQ%3D%3D
4,2025_ARED_2051_1,1,"Construction of Academic Block at Govt. College, Seppa",DEPARTMENT OF EDUCATION ARUNACHAL PRADESH||ENGINEERING WING DEPARTMENT OF EDUCATION ITANAGAR,AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SWVI0wazMEZLmHQ9ZRugPXw%3D%3D
5,2024_ARED_2034_2,1,"Construction of Library Building at Govt. College, Yachuli, Keyi Panyor District",DEPARTMENT OF EDUCATION ARUNACHAL PRADESH||ENGINEERING WING DEPARTMENT OF EDUCATION ITANAGAR,AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPIJfl6wMs%2Ba%2FXeD4w2x7iA%3D%3D
6,2024_ARED_2033_2,1,"Infrastructure Development of Govt. Engineering College, Toru ",DEPARTMENT OF EDUCATION ARUNACHAL PRADESH||ENGINEERING WING DEPARTMENT OF EDUCATION ITANAGAR,AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S1pkXu%2B%2FL4FGWGgMBtmvwZA%3D%3D
1,2025_DRDAP_2559_2,1,SUPPLY OF MATERIAL UNDER  MGNREGA 2025-26 CD BLOCK  BAGRA,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD WEST SIANG,AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S2GMK6oNjR27YsrCgqXgo2A%3D%3D
2,2025_DRDAP_2558_1,1," Supply and Procurement of Materials under MGNREGA- 2025-26 against CD Block Aalo (West), West Siang District (A.P)",RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD WEST SIANG,AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sj1LPiK5w1HkxRoLekzrb6g%3D%3D
1,2024_PHEWD_2008_1,1,Augmentation and Improvement of water supply at Kanubari Town under AMRUT 2.0 (1.60 MLD),"Public Health Engineering and Water Supply||CE(East Zone),PHEWSD||Miao Circle,CE(EZ),PHEWSD",AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sj5amjU5qSebZhNLfnbOaCA%3D%3D
2,2024_PHEWD_2007_1,1,Augmentation and Improvement of water supply at KhonsaTownship (Phase- 2) under AMRUT 2.0(2.50 MLD),"Public Health Engineering and Water Supply||CE(East Zone),PHEWSD||Miao Circle,CE(EZ),PHEWSD||Khonsa Division,Miao Circle,CE(EZ),PHEWSD",AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SaVayZBEXGm45ovt3UBdE6w%3D%3D
1,2025_PWDAP_2039_1,1,"C/o Road from Beye to Piri village, West Siang District(Ph-I) under CRIF",Public Works Department||CE(PWD) Central Zone-B - PWDAP||CIRCLE- Aalo - PWDAP||DIV- Aalo - PWDAP,AOC,https://arunachaltenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sq%2BYHL0V8UZgJiUaElYb9yw%3D%3D
2,2024_ARED_2035_1,1,"Construction of Type- IV Quarters-2 Units at Govt. College, Yachuli, Keyi Panyor District",DEPARTMENT OF EDUCATION ARUNACHAL PRADESH||ENGINEERING WING DEPARTMENT OF EDUCATION ITANAGAR,AOC,https://a
