S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2024_BHEL_43084_1,1,Repair and Maintenance OF FENCING OF CENTRAL STORE BOUNDARY WALL and OTHER ARERA IN HEEP ,Bharat Heavy Electricals Limited||HEEP-Haridwar||WEX-WCS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SpxUUVCg3QzBAOjxHiTnteA%3D%3D
2,2024_BHEL_42873_1,1,SPARES FOR OFF CIRCUIT TAP SWITCH,"Bharat Heavy Electricals Limited||TP-Jhansi||TRANSFORMER,WEX -  MOD.||Transformer Material Management||46 - Associated Equipments",AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SCUEx2g4bdrMfrW3AG8NW0g%3D%3D
3,2024_BHEL_42829_1,1,END SHIELD ASSEMBLY AND GASKET REPLACEMENT FOR UNIT  8 500MW NTPC VINDHYACHAL,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sw4ZjYDRRGyaiL0V1Gh2Jmg%3D%3D
4,2024_BHEL_42620_1,1,"Capital Overhaul of HPT, IPT and LP Turbines and its auxiliaries and Assistance for RLA of Turbines of One Unit KWU Turbine as per SOW at NTPC Talcher STPS, Kaniha 5x500MW",Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2BHJEGQ0uQqf%2FaIZCghA0lg%3D%3D
5,2024_BHEL_42588_1,1,REPLACEMENT OF DAMAGED INSTALLED STATOR WITH REPAIRED STATOR ALONG WITH BOX-UP OF COMPLETE GENERATOR  BEARING INSPECTION AND COMMISSIONING UNIT  6 500MW ANPARA,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Su0Gr1D9u202WxQio%2Bs3A5Q%3D%3D
6,2024_BHEL_42535_1,1,RECTIFICATION OF STATOR EARTH FAULT IN 250 MW GENERATOR UNIT 3 OF STPS SURATGARH,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=So1xCu5EB8QY%2BB0x7BFDv7Q%3D%3D
7,2024_BHEL_42371_1,1,Repair and Maintenance OF TRENCH / DRAIN COVER IN PRODUCTION SHOPS IN FACTORY AREA HEEP HARIDWAR,Bharat Heavy Electricals Limited||HEEP-Haridwar||WEX-WCS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2Fpbfsx493YA3LSRF0geU4A%3D%3D
8,2024_BHEL_42360_1,1,DE-BRAZING AND BRAZING IN TERMINAL BAR OF GENERATOR STATOR IN 210 MW UNIT 6 OF GGSSTP ROPAR,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sqk2X1lQe5iw%2BZavJyfOxXw%3D%3D
9,2024_BHEL_42321_1,1,Capital overhaul of HMN Turbines and Generator as per SOW at Unit 5 NALCO CPP Angul 120MW  ,Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SZRGsVlrxySVisxpPYFQi5A%3D%3D
10,2024_BHEL_42236_1,1,"Replacement of Exciter rotor and Exciter Overhauling as per SOW at Unit 7, NTPC RAMAGUNDAM STAGE III  1x500MW",Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SqA31MT8KbLYFAHF7cZ8OAA%3D%3D
