S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
2,2024_UTDNH_7362_1,1,Providing shamiyana and ancillary items for VVIP Visit at UT of DNH.,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SGkBhTpuLdhZi%2B3oIIE0Ffw%3D%3D
1,2025_UTDNH_7435_1,1,Shifting of Water Supply Pipe line at Dadra main road to Tighra (2nd call),UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S3mYx9%2Bu56w%2Fzmj0YGV%2Bppw%3D%3D
2,2025_UTDNH_7430_1,1,Shifting of Water Supply Pipeline from Sayli Dungarpada to canal and Silvassa road upto NAMO medical college ,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2F%2FAHcCpDZUrZXZBZFG3NMQ%3D%3D
3,2025_UTDNH_7423_1,1,"Special repairs to Type-III-B/6, Type-IV-B/5 and  B/6 at Tokarkhada and Type-II-B/8 and D-1 and Type-III-K/5 and N/1 at Bahumali Complex, Silvassa.",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SXwfeLCw6zshGfMDVTuOOdA%3D%3D
4,2025_UTDNH_7422_1,1,"Special Repairs to Girls and Boys hostel at Kharadpada, Galonda and Randha",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8Uon7Ia72DikSzMPPBKTfQ%3D%3D
5,2024_UTDNH_7410_1,1,"Construction of box culvert on internal road at Naroli Kakadfalia, Plotfalia and Dhabhapada in Naroli Panchayat area",UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SsAW4evmTPL8QkrORofK1Qg%3D%3D
6,2024_UTDNH_7390_1,1,Dismantling of Govt. Building In High School Campus at Khanvel (8th Call),UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKeB3s%2F1flKV%2Bs7JIHcdeMw%3D%3D
7,2024_UTDNH_7389_1,1,Construction of Canteen in District Secretariat Building at Silvassa. (4th Call),UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SHJx27fABYYoheD7ru5giqA%3D%3D
8,2024_UTDNH_7388_1,1,Construction of Toilet Block for Food and Civil Supplies and Consumer affairs (Supply and Godown) at  Masat.(9th Call),UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SxcgTT%2BApKqWpdOpqXAq1FA%3D%3D
1,2025_UTDNH_7429_1,1,"Providing shamiyana for celebration of Republic Day of India in UT of DNH, 2025 at Education Hub Zandachowk",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S39IOC4PCCA2v2kuoqcbiqw%3D%3D
2,2025_UTDNH_7427_1,1,Construction of Toilet Block of Primary School at Shelti Khadkipada (5th call),UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SOWSWkHBsJks0EoL8x4kIEA%3D%3D
3,2025_UTDNH_7421_1,1,"Construction of Compound wall at Police Head Quarter,  Silvassa.",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ScFc8hww2EC5QLI3wMMbVcQ%3D%3D
1,2024_UTDNH_7403_1,1,Construction of Compound wall and Landscaping work for Gram Panchayat Building at various places in DNH District,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SwXzsQ7M43NV%2Fne19sD8XXA%3D%3D
2,2024_UTDNH_7382_1,1,Construction of Primary School building at Rudana Chikhaldapada in DNH (2nd call),UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ShlXrnTq8jhWsvo5LVe3adw%3D%3D
3,2024_UTDNH_7312_1,1,"Construction of Naroli School, DNH.",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Spm3qAeH97cRTo4o%2FX%2Fnccw%3D%3D
4,2024_UTDNH_7297_1,1,"Construction Of Dayat Faliya School, Silvassa",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S0fktKdua1jZAj2xrv8RUGA%3D%3D
5,2024_UTDNH_7289_1,1,"Construction of Police Station Naroli, Sayli, Dudhani, Surangi",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH||O/o Executive Engineer - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SrfEvF4PLAkC4fts6tepK6A%3D%3D
1,2025_UTDNH_7712_1,1,Dismantling of Buildings in Dayat falia Pipariya (3rd Call).,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SnHMVlPJUvbckIks6I5Neaw%3D%3D
2,2025_UTDNH_7642_1,1,Shifting of Water Supply Pipe line at Dadra main road to Tighra (7th call),UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S3EWckXp0l0MPCVPgPKaEfQ%3D%3D
1,2025_UTDNH_7673_1,1,"Construction of Compound wall at Bahumali complex, Silvassa",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S4EigT8E3IgPS5Fdt9Ekv%2Fw%3D%3D
2,2025_UTDNH_7672_1,1,"Special Repairs to Girls and Boys hostel at Kharadpada, Galonda and Randha (2nd Call)",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SsYzy9DkRhFaJPTUe%2Fj9dgA%3D%3D
3,2025_UTDNH_7664_1,1,"Renovation, repair and utilities installation at type V quarter near Zandachowk, Silvassa.",UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,AOC,https://dnhtenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SQHtyeNkjRttrkdCbsjuZXA%3D%3D
