S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2024_PWD_267613_1,1,"Restoration of Road cut by various cuts by BSES, DJB, Delhi Trafficc Police and other various agencies on various roads under Sub-Division-II of Division South Road-II, PWD New Delhi.(2nd Call) 2024_PWD_267039_1",Public Works Department||CE/SE/M4-M41||EE/M411,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SWAZ4wvYBF%2BC%2B7ahhi35D4Q%3D%3D
2,2024_PWD_267206_1,1,"Restoration of Road cut by BSES and DJB at various locations under Sub Division-IV of Division South Road-II, PWD New Delhi during 2024-25. (2024_PWD_266268_1)",Public Works Department||CE/SE/M4-M41||EE/M411,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SdVMQVsTyj1C%2FJyaI7KxNFQ%3D%3D
3,2024_PWD_266439_1,1,"A/R and M/O to various Roads under Sub Division - III of Division South Road - II, PWD during 2024-25. (SH_ Misc. Horticulture Works).",Public Works Department||CE/SE/M4-M41||EE/M411,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S3Jkqw9DaH2E5voYAt9JwyQ%3D%3D
4,2024_DTTDC_263393_1,1,"Operation and maintenance of Souvenir Shop in Dr. APJ Abdul Kalam Museum at Dilli Haat INA, Aurobindo Marg, New Delhi 110023 ",DTTDC||Non Engineering||Corporate,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SeEzmcyzOIdM7lUrlRQre7Q%3D%3D
5,2024_DSIDC_267226_1,1,"Operation and Maintenance of Pump House and Goods Lift with Internal Wiring of each passage block at FFC Jhandewalan complex, Delhi",DSIIDC||ENGINEERING||ED-II,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SOpsg6IREibPbxeUWISh5bA%3D%3D
6,2024_DSIDC_267214_1,1,"Internal Electrification work of IInd and IIIrd Floor DSIIDC BCD Building, Connaught Place New Delhi",DSIIDC||ENGINEERING||ED-II,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SRurA11Pj0LKl9CtqM5hW0w%3D%3D
1,2025_PWD_272469_1,1,"A/R and M/O various roads under sub division-III,SRD Project Division-2, New Delhi, dg 2025-26. (SH Laying of NP4 pipe at various roads under SRD Project Division-2 jurisdiction of sub division-2,PWD).",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2Fmsz%2FRUQQUN%2FUexy5emUDw%3D%3D
2,2024_DE_267225_1,1,Online tender for providing food and refreshment at various locations across Delhi/Outside Delhi,Department of Education||Care Taking,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SXYI10Y2CvPtk2G9Tc6oG2Q%3D%3D
1,2025_PWD_273467_1,1,"A/R and M/O to various roads under Division South Road-II, PWD, New Delhi during 2025-26. (SH_ Repair to damaged footpath, kerb stone and railing etc. under jurisdiction of Sub Division-I and IV).",Public Works Department||CE/SE/M4-M41||EE/M411,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2BmpL4aGIL9zZOlrOwxPtjg%3D%3D
2,2025_PWD_273459_1,1,"A/R and M/O to various roads under Division South Road-II, PWD, New Delhi during 2025-26. (SH_ Repair to damaged footpath, kerb stone and railing etc. under jurisdiction of Sub Division-II and III).",Public Works Department||CE/SE/M4-M41||EE/M411,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S2zLyAhQ3oarXAPShVs%2Fhmw%3D%3D
