S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2025_WRD_420430_1,1,Opening  closing of stop Dam Barrage Shutter Gate  Bhasner Kalikamata Bhadli Sahapura Mangrul Borgaon Dongargaon Awali Barrage Navalpurakhedi Barrage Sultanpura Barrage,Engineer-in-Chief - Water Resources Department||E.E. WR DN. KHARGONE - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sv%2BQ%2BtuSNBxqyhpIE9FvJOw%3D%3D
2,2025_WRD_419753_1,1,Repair Work of 14 Nos. Sluice Gates (in different size) of Various Irrigation Tanks of Distt. Panna (M.P.) ,Engineer-in-Chief - Water Resources Department||E.E. E-M LMTG DN. SAGAR - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2BZUlhR3iC9HwaVYwIZbNIg%3D%3D
3,2025_WRD_417602_1,1,"E/W on bank repair, structures repair  of C.D. ch 29 of Raigarh dy., V.R.B. ch 93, H.R. ch 129 of Nirkhi and V.R.B. ch 11,124,288 and 333 of Malkakhedi minor.",Engineer-in-Chief - Water Resources Department||E.E. TAWA CANAL DN SEONI MALWA - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SwM2Vu6EaZET1stmZj%2BhIOg%3D%3D
4,2025_WRD_417600_1,1,Reconstruction work of Head Regulator of 110 of Satwasa Dy and Ch. 224 of Jeejalwada minor.,Engineer-in-Chief - Water Resources Department||E.E. TAWA CANAL DN SEONI MALWA - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SbacHq5W02%2BBaWKIJ4OcUmQ%3D%3D
5,2025_WRD_417599_1,1,"Repair Work of VRB at ch. 52 of Jeejalwada minor, VRB at ch. 120 and VRB  at ch. 180  of Satwasa Distry.",Engineer-in-Chief - Water Resources Department||E.E. TAWA CANAL DN SEONI MALWA - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SjJnaRUJ70HCNnmeEHRGaPg%3D%3D
6,2025_WRD_417598_1,1,Reconstruction of Fall at Ch. 90 and 160 Of Satwasa Distry.,Engineer-in-Chief - Water Resources Department||E.E. TAWA CANAL DN SEONI MALWA - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SuN%2BElSYCNiu0yDe%2F1dy09w%3D%3D
7,2025_WRD_417597_1,1,Roof Covering work of G-Type and  H-Type quarters of Tawa colony Seonimalwa.,Engineer-in-Chief - Water Resources Department||E.E. TAWA CANAL DN SEONI MALWA - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SSc31wfZjgmMarEXlJZvdLw%3D%3D
8,2025_WRD_417595_1,1,"Repair of 08 No. Fall at chain 27,38,157 and 168 Gajanpur distri. and  chain 57,65,73 and 79 Rajora Distributary of TLBM Canal",Engineer-in-Chief - Water Resources Department||E.E. TAWA CANAL DN SEONI MALWA - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SpxjD87uOrmAPDQWnK%2BnVWQ%3D%3D
9,2025_WRD_417594_2,1,"Repair of 05 No. HR at chain 04 and 62 Rajora distri.and  chain 12,35 and 65 Gajanpur Distributary of TLBM Canal",Engineer-in-Chief - Water Resources Department||E.E. TAWA CANAL DN SEONI MALWA - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8NVRVU%2FfJa5q1%2FZieJJVcA%3D%3D
10,2025_WRD_417593_1,1,Repair Of Morand Aquaduct At Ch. 2617 and Ganjal Aquaduct At Ch. 2881 Of Tawa LBMC.,Engineer-in-Chief - Water Resources Department||E.E. TAWA CANAL DN SEONI MALWA - WRD,AOC,https://mptenders.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SXG8rb%2BIMraSKIS0HZhIsqg%3D%3D
