S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2024_NTPC_93033_1,1,Works Contract RE RUBBER LINING WORK OF TANKS VESSELS AND PIPES FOR DM PLANT ST I and,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SIstmQIJYfXcXt7cF351VOg%3D%3D
2,2024_NTPC_92822_1,1,Appointment of Legal Advisor,NTPC Limited||Corporate Centre||Corporate Contracts,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S7rSz%2FtlIBc%2BkMrdXAosQJg%3D%3D
3,2024_NTPC_92802_1,1,Procurement of diesel and petrol for operation of DG Sets and Office Staff,NTPC Limited||Coal Mining,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SfOordBiZpslicZUMAK0ghQ%3D%3D
4,2024_NTPC_92704_1,1,Civil Works for conveying raw water of submersible pump scheme at NTPC Farakka.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SoZUy24X4ewi5WebtIoNeIg%3D%3D
5,2024_NTPC_92701_1,1,"Renovation works of common toilet under Phase 1 at NTPC EOC, Noida",NTPC Limited||Corporate Centre||HR - Contracts and Procurement,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S2C22vlLZbMqfpNWQOZWptw%3D%3D
6,2024_NTPC_92499_1,1,Advisory Services for transfer of MCD Shareholding in NEWS to NTPC and,NTPC Limited||Corporate Centre||Corporate Contracts,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Ss2jYS5p5HY8T9gcB5xVBqA%3D%3D
7,2024_NTPC_92309_1,1,"800059316 CONSTRUCTION OF BUILDING, COMPOUND WALL AND OTHER CIVIL WORKS",NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=STADCnosU83nvitBjUsUcEQ%3D%3D
8,2024_NTPC_92241_1,1,PCC FIRE FIGHTING SYSTEM For NTPV Faridabad,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S2D%2BBuiTvQTzAFwbXZEdBzg%3D%3D
9,2024_NTPC_92025_1,1,Civil Repair/reconstruction of old Retaining wall(Drain)along Rail trackand Misc civil works at MGR-VSTPS,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Ss6kYOdeer72jWdxBW9K7dg%3D%3D
10,2024_NTPC_91938_1,1,Repair of Road around Ash Dyke of Darlipali,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Shz11q4WT0RsJqh%2FhtyY1cw%3D%3D
1,2025_NTPC_99562_1,1,Deployment of DGR Security Personnel at NTPC Kahalgaon Township Security Block 1,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SveRSa%2F1xMbeV5OKOsQJ6ng%3D%3D
2,2025_NTPC_99540_1,1,Deployment of DGR Security Personnel at NTPC Kahalgaon Township SecurityBlock-2,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SeE0xDaSiwSNlQRp3GjIvjA%3D%3D
3,2025_NTPC_99487_1,1,Construction of approach Road connecting to main road to weigh bridge in,NTPC Limited||Northern Region Headquarter||Rihand Super Thermal Power Station,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SkWAaNBO5OE86M%2FgiU5%2B0fw%3D%3D
