S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2025_WRDAS_483275_4,1,Regulation work on direct disty./Minor  direct outlets  from RD 508.000 to RD 620.000 B/S of main canal IGMN including Head cum X-regulator at RD 619.300 with Pugal branch with Power Hydal and Watch and Ward of main canal from RD 508.000 to RD 620.0,WRD - CE AND AS,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SLyqfqfcAOTtU%2F91Ml4wVng%3D%3D
2,2025_WRDAS_483275_3,1,Regulation work on direct disty./Minor direct outlets  from RD 416.000 to RD 508.000 B/S of  main canal IGMN including Head cum X-regulator at RD 507.290 IGMN with Rojari Disty. and Escape and Watch and ward of Main canal IGMN from RD 415 to 507 ,WRD - CE AND AS,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKJ99DgL28ZqIaomiCXnRVw%3D%3D
3,2025_WRDAS_483275_2,1,Regulation work on direct disty./Minor  direct outlets of IGMN from RD 335.000 to RD 416.000 B/S of canal IGMN including X-regulator at RD 415.250 and Watch and ward of main Canal IGMN from RD 335.000 to RD 416.000 B/S for the year of 2025-26.,WRD - CE AND AS,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SC74m2OMPyvsNDZD%2BM8xyiA%3D%3D
4,2025_WRDAS_483275_1,1,Regulation work on direct disty./Minor  direct outlets of IGMN from RD 243.500 to RD 335.000 B/S of canal IGMN and Watch and ward of main canal IGMN from RD 243.500 to RD 335.000 B/S  for the year of 2025-26.,WRD - CE AND AS,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SMkSW138r5SlhaYPBIem81g%3D%3D
5,2025_WDSC_481358_1,1,Construction of Bawadi Renovation and RTWHS,Deptt. of Watershed Dev. and Soil Conservation||CEO-SLNA Cum Director||PM-WCDC and SE(LR)||Executive Engineer (LR),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ScmaYgIms%2BwqjpUV8EY%2F%2Byw%3D%3D
6,2025_WDSC_480989_1,1,"Fruit Production, Agro Forestry Plantation",Deptt. of Watershed Dev. and Soil Conservation||CEO-SLNA Cum Director||PM-WCDC and SE(LR)||Executive Engineer (LR),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S6hG9ouWEdxkCIaAqEBn%2BtA%3D%3D
7,2025_WDSC_476429_1,1,Construction of  01 Nos Bawadi and 02 Nos RTWHS,Deptt. of Watershed Dev. and Soil Conservation||CEO-SLNA Cum Director||PM-WCDC and SE(LR)||Executive Engineer (LR),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SpHAop%2BoN2qyb4s930xQyAA%3D%3D
8,2025_SNMCJ_474128_1,1,Cleaninig services and work dist Hospital paota jodhpur ,"Dr. S.N.Medical College, Jodhpur||Principal-and-Controller||PMO- District Hospital Paota, Jodhpur",AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SV03QkDsoAcCFWJ7%2FqjBGvA%3D%3D
9,2025_SMSMC_467720_1,1,OPEN TNEDER FOR Hospital PRINTING  Stationary,S.M.S. Medical College-Jaipur||Principal and Controller||Mahila Hospital,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SHV9bfVOb0ONSilzjZ5bTTw%3D%3D
10,2025_SKNAU_480228_1,1,"Chain link fencing at KVK, Kumher, Bharatpur.",SRI KARAN NARENDRA AGRICULTURE UNIVERSITY- JOBNER||Vice Chancellor||Estate Officer,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8BYJOJ3Fbv5OhTyBwnPX2w%3D%3D
11,2025_SKNAU_480221_1,1,"Chain link fencing at KVK, Arnia.",SRI KARAN NARENDRA AGRICULTURE UNIVERSITY- JOBNER||Vice Chancellor||Estate Officer,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SmKN3NPQ8dqOdDzVch%2FrQ%2Fw%3D%3D
12,2025_SKNAU_480215_1,1,"Construction of Fooder Storage at Dairy/Poultry unit, SKNCOA, Jobner.",SRI KARAN NARENDRA AGRICULTURE UNIVERSITY- JOBNER||Vice Chancellor||Estate Officer,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SLnb%2BOolzgo7UreYEdRkVmw%3D%3D
13,2025_RSMML_468898_1,1,Supply of Kirloskar make Pump Set with Motor Model-DSM 125/40 ,RSMML||Corporate Office-Udaipur,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SMfh%2ByIqRnLlTsrTgt0BLsg%3D%3D
14,2025_RSGSM_451772_1,1,Liquor Transportation,"Rajasthan State Gangnagar Sugar Mills||GM, RSGSM||Dy.GM - Pur.",AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SK7HEQM8qJNg0vcfjITpYVQ%3D%3D
15,2025_RSCER_476610_1,1,PRINTING WITH PAPER BINDING PACKING AND DISTRIBUTION WORK,RAJASTHAN STATE COUNCIL OF EDUCATIONAL RESEARCH AND TRAINING- UDAIPUR||DIRECTOR,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SrAeRq3wiYmqU1ioYYRF6%2Bw%3D%3D
16,2025_RRVUN_457876_1,1,Purchase of Air conditioners in various RVUN power stations and RVUN Jaipur offices,RRVUN - CMD||RVUN - CE (TD) - Jaipur,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SGyH4Ikt5%2BjtwIMssM2hYLg%3D%3D
17,2025_RRVUN_449424_1,1,"SUPPLY OF SEALS OF AIR PRE HEATER (APH) FOR 2X600MW at KATPP, JHALAWAR",RRVUN - CMD||RVUN - CE (KaTPP) - Jhalawar||SE (MM),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SCv2%2Bhsur%2FZKzvf0A7PsnEw%3D%3D
18,2025_RRVUN_445336_1,1,SITC of MF-VRLA Battery bank set ,"RRVUN - CMD||RVUN - CE (H and GP) - Jaipur||SE - Generation, Banswara",AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPVbUBoGR6Sh0uQNmaw0oEw%3D%3D
19,2025_RNTMC_451306_3,1,Nerve Integrity Monitor,"RNT  Medical College, Udaipur||Principal and Controller.",AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SIWhyBBvi4F0B2YHLKOoKuw%3D%3D
20,2025_RNTMC_451306_2,1,Video-Laryngoscope,"RNT  Medical College, Udaipur||Principal and Controller.",AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ShC4062t6M%2FaYwFHciG8W%2BQ%3D%3D
21,2025_RNTMC_451306_1,2,Pulmonary function test with diffusion study (PFT WITH DLCO),"RNT  Medical College, Udaipur||Principal and Controller.",AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SVG3uK%2BNRVcm8hxl0OT8lmw%3D%3D
22,2025_RNTMC_448578_18,2,Special microscope (Projector microscope),"RNT  Medical College, Udaipur||Principal and Controller.",AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SSDeZeBhslUCf6Y3VKhvSGQ%3D%3D
23,2025_RLA_449337_1,2,"Commercial Segment Computers, Laptops and Equipment Supply at RLA",RAJASTHAN LEGISLATIVE ASSEMBLY||SECRETARY||DS,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SBMjXzUr5CIVKUnHier3gdw%3D%3D
24,2025_RIICO_463625_1,2,Engagement of Consultant to act as a programme Manager for New Cities (PMNC) for Infrastructure Development of Industrial Township in Jodhpur Pali Marwar Industrial Area Special Investment Region (JPMIA-SIR),RIICO-Sr. DGM(Tech)||RIICO-Technical Cell HO||UH- Pali,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SWzQkv1IQAYZpVl%2FyZ5Lozw%3D%3D
25,2025_RCDF_478001_1,2,"S/I/C Audio Video System at RCDF  HQ, Saras Sankul, Jaipur (Raj.)",RCDF- MD||GM(DPM and Proj.)||Dy. M.(DPM),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Syo3Rk9lyKzhOqrYPzAKqZg%3D%3D
26,2025_RCDF_473976_1,2,"Limited tenders for consultancy for Civil construction through Architect cum Structural consultant in category (C) for Construction of Covering Shed, Worker Amenity and Renovation/Reconstruction of C.C Road and Retaining Wall for Silo at CFP Lambiaka",RCDF- MD||GM(DPM and Proj.)||Dy. M.(DPM),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SIL4i37GC2k%2F78wf7Vt%2Bi1Q%3D%3D
27,2025_RCDF_472375_1,2,"Limited tenders for consultancy for civil construction through Architect cum Structural consultant in category B for Replacement of old windows, renovation/ Interior work at RCDF Hq. Jaipur",RCDF- MD||GM(DPM and Proj.)||Dy. M.(DPM),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKpcj004q9k%2BMv1a1iS%2FCMw%3D%3D
28,2025_RCDF_466356_1,2,S/I/C and Testing water treatment plant and Distribution system for capacity of 300 MTPD Cattle feed Plant Pali.,RCDF- MD||GM(DPM and Proj.)||Dy. M.(DPM),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SojfELWXh4V8yPdXBXQhl5w%3D%3D
29,2025_RCDF_466355_1,2,Modification and renovation of the existing installed capacity 150 MTPD Plant and machinery on Turnkey Basis at CFP Pali,RCDF- MD||GM(DPM and Proj.)||Dy. M.(DPM),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPKuCEXYNW3BGBhhJmOG6sg%3D%3D
30,2025_RCDF_453520_1,2,Protein Estimation Unit,RCDF- MD||Bikaner Zila Dugdh Utpadak Sahakari  Sangh Ltd Bikaner||Plant,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sxadu4rDZrjOrKfqCJrTj4Q%3D%3D
31,2025_RCDF_445809_1,3,Repair and Maintenance to Make Existing Silo Operations (Silo 1 and Silo 2) at CFP Lambiyakalan (Raj.),RCDF- MD||GM(DPM and Proj.)||Dy. M.(DPM),AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SUl29t6XEwqx8yEc%2F6Lrbtg%3D%3D
32,2025_PRD_483896_1,3,Purchase materials for MG NREGA  and RD Schemes at BSR 2025-26 Gram panchayat JALILA,Panchayati Raj Department||Secretary and Commissioner||CEO-BADMER||BDO-DHANAU,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ST2LWiLJxPV3Fgw9vcmaKqw%3D%3D
33,2025_PRD_483891_1,3,sarvjanik tyubel nirman luna harlal megwal ka pada gp konra,Panchayati Raj Department||Secretary and Commissioner||CEO-BADMER||BDO-DHANAU,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sj5DWEx6LYJ49GcJLuG%2BQUQ%3D%3D
34,2025_PRD_481588_1,3,RATE CONTRACT FOR SUPPLY OF CONSTRUCTION MATERIAL AND PROVIDING EQUIPMENTS FOR MGNAREGA AND RURAL DEVELOPMENT AND PANCHAYATI RAJ DEPARTMENT VARIOUS SCHEME AT GRAM PANCHAYAT  BIDOLI  PANCHAYAT SAMITI RAMAGRH PACHWARA DIST DAUSA FOR F.Y 2025-2026 ,Panchayati Raj Department||Secretary and Commissioner||CEO-DAUSA||BDO-RAMGARH PACHWARA,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sa4yC8py37A9gUKTIW9nmAg%3D%3D
35,2025_PRD_481239_1,3,"gp gangal 5 work(ccroad,char diwari,pipe line)	",Panchayati Raj Department||Secretary and Commissioner||CEO-BADMER||BDO-RAMSAR,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=STjUPYxnm8cCT%2BIcqi5Wu7Q%3D%3D
36,2025_PRD_479326_1,3,lakhada thumb me sarwjanik chowk me kharnja nirman,Panchayati Raj Department||Secretary and Commissioner||CEO-JODHPUR||BDO-LUNI,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2Ftvd78fn2F2D6JTOUOtc5Q%3D%3D
37,2025_PRD_479318_1,3,Valkmilki ke mouhale me vachanalay nirman kary,Panchayati Raj Department||Secretary and Commissioner||CEO-JODHPUR||BDO-LUNI,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SQi4IiIP81m87WecXyXWAMA%3D%3D
38,2025_PRD_479309_1,3,Omaram bagari ke ghar se chandra ram meghwal  ke ghar tak kharnja nirman,Panchayati Raj Department||Secretary and Commissioner||CEO-JODHPUR||BDO-LUNI,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S670KK6DLy74Ufz49udQfmA%3D%3D
39,2025_PRD_479304_1,3,Babu lal Sahukar ke ghar se omaram jaat ke ghar tak kharnja nirman,Panchayati Raj Department||Secretary and Commissioner||CEO-JODHPUR||BDO-LUNI,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SqMcRIe2OoE4DD%2BLNImzvWQ%3D%3D
40,2025_PRD_478775_1,3,NALI NIRMAN KARY DAYAL KI NANGAL SE NADI KI OR GP DAYAL KI NANGAL,Panchayati Raj Department||Secretary and Commissioner||CEO-SIKAR||BDO-NEEMKATHANA,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S1FpqK06zGop0qrpT3WVIXQ%3D%3D
41,2025_PRD_478749_1,4,INTERLOKING KHARANJA WITH NALI NIRMAN KARY MUKHY SADAK SE RAJPOOTO KE CHOUK TAK JHALARA GP DAYAL KI NANGAL,Panchayati Raj Department||Secretary and Commissioner||CEO-SIKAR||BDO-NEEMKATHANA,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SAQh2N21TEhaT0GrtrK5kaQ%3D%3D
42,2025_PRD_478745_1,4,INTERLOKING KHARANJA WITH NALI NIRMAN KARY SUMER KE MAKAN SE RAJU KE MAKANO TAK GP DAYAL KI NANGAL,Panchayati Raj Department||Secretary and Commissioner||CEO-SIKAR||BDO-NEEMKATHANA,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SAmwWIdZTCHSKmLFk8HQqyQ%3D%3D
43,2025_PRD_478641_1,4,"Work including door to door garbage collection and separation, road and drain cleaning and cleaning of community sanitation complexes in all the villages of Gram Panchayat Preetampuri",Panchayati Raj Department||Secretary and Commissioner||CEO-SIKAR||BDO-NEEMKATHANA,AOC,https://eproc.rajasthan.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sbat62ip%2F7P%2F%2BDw7sA6S9PQ%3D%3D
