S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2025_YEIDA_1045380_10,1,Repair and maintenance work of 60mtr. Road infront plot no 10 and 11 in sector -17A of YEIDA. WC-01,Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SNDIyAN%2FV1LmyE4LHLD2bew%3D%3D
2,2025_YEIDA_1043488_3,1,C/o Boundary wall of park P-3 in sector 33 Yeida WC-H,Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SefWNvXTLuJpo2IIjhIllXQ%3D%3D
3,2025_YEIDA_1042868_7,1,"Providing and laying interlocking tiles in village -Dayanatpur,YEA (including construction of drain ) WC-06",Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Svuyiil9xaoF%2Fvvwr5%2FEzXw%3D%3D
4,2025_YEIDA_1042868_15,1,Widening and Strentgthening  of Tirthali road from Kainchi ka Pul at Rabupura- Jhajhar road to 20 Foota road yea Wc-06,Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SYCNwOfaBCNWXH1H1ofmReg%3D%3D
5,2025_YEIDA_1038978_9,1,"Pond Rejunvenation in village- Ahmadpur choroli (pond no.3),YEA WC-06",Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SNG2XQyi4sC0cPxB7Po4CCA%3D%3D
6,2025_YEIDA_1036426_9,1,D/o parks Pocket C and D sector-20 with two year maintenance yeida. WC-H,Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SMSxQeqQquMzEt21q7sz2wg%3D%3D
7,2025_YEIDA_1036426_6,1,"Pond Rejunvenation in village Khajpur(2Nos. pond),YEA WC-06",Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sq3vtqYnaOo0UVSLAW5Yirg%3D%3D
8,2025_YEIDA_1036426_3,1,Providing and fixing of water supply in affordables houses sector  22 D  (Group H  I)YEA WC-02,Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SuuSvbc6R6A%2F7y1e1iUuo1w%3D%3D
9,2025_YEIDA_1036426_17,1,"c/o boundary  wall of parks pocket -5D in sector 18,YEIDA .WC-H",Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S4agOSKd7Nd1xDv15rXJTXg%3D%3D
10,2025_YEIDA_1036426_14,1,Construction 06 Cow sheds 1 Bhusa store 1 khal store 1 Guard room 1 office room for Gaushala in village- Dhanori yea. WC-06,Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8pXOVFw%2FccHTOtMQqy705w%3D%3D
11,2025_YEIDA_1034590_2,1,"SITC of 11kv underground line for kiosk in fron of galgotia and 02 nos tubewell in front of sector -19,YEA WC-E M-02",Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SQ4r%2BaI6r%2FiKVscekBuKRCw%3D%3D
12,2025_YEIDA_1034590_1,1,"Operation and maintenance of 2Nos tubewall in SDS township at sector -26A(year2024-2025),YEIDA.WC-E M -03",Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SCaYAZnxZjJ%2BGIZA48qup1g%3D%3D
13,2025_YEIDA_1028281_30,1,"Supplying  and stacking of khal chokar , chilka for gaushala in village faleda bangar,YEA WC-06",Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sh%2BLGp6w5jYoS7oz6gD3zSw%3D%3D
14,2025_YEIDA_1028281_10,1,"Construction of CC road and providing and fixing interlocking  tiles on patri both side ( including const.of drain )in village Jaunchana, YEA.WC-06",Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SaX9AmfGcu5rPjdyZZwfv7w%3D%3D
15,2025_YEIDA_1020337_6,1,"Providing and laying interlocking tiles work in villagekhwajpur,YEA(including construction of drain) ",Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SFRoL8pRtZIg1KLBuK8tpJw%3D%3D
16,2025_YEIDA_1020337_3,1,Providing and laying interlocking tiles and brick drain in village- mohablipur YEA .WC-06 ,Yamuna Expressway Industrial Development Authority,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S9Inzhg%2B2Yh5d8E3HGHls6w%3D%3D
17,2025_UPTCL_1042193_1,1,07-ETC-I(P)/ 2025-2026,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC- I  Allahabad,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SqNgntYOxlNU6wPkEdd1bNQ%3D%3D
18,2025_UPTCL_1040912_1,1,10/ETC-II(P)/ 2025-2026,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E.  ETC-II  Allahabad,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SQZ9aWV4%2B%2BzerDiNn3GNeww%3D%3D
19,2025_UPRNS_1064765_1,1,"PROPOSED  PRIMARY SCHOOL KITCHEN, TOILET, SUBMERSIBLE PUMP  HANDPUMP AT SULTANPUR JANAULI, DEENSHAH GAURA, DISTRICT- RAEBARELI(U.P.)",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Lucknow II,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8GFTPSMgSfOvlnVgDMr1%2Bg%3D%3D
20,2025_UPRNS_1064368_2,1,"PROPOSED PRIMARY SCHOOL KITCHEN, TOILET, SUBMERSIBLE PUMP HANDPUMP AT POORE BASARATALI, ROHANIYA, DISTRICT- RAEBARELI (U.P.)",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Lucknow II,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sq3rcSCajVWQWfxMx7cD%2Bgw%3D%3D
21,2025_UPRNS_1064309_2,2,"PROPOSED PRIMARY SCHOOL KITCHEN, TOILET, SUBMERSIBLE PUMP HANDPUMP AT KOOD, JAGATPUR, DISTRICT- RAEBARELI(U.P.)",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Lucknow II,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SdSq6ViWfW1Eb6KycP%2F8EcQ%3D%3D
22,2025_UPRNS_1061331_1,2,"CONSTRUCTION OF MODERN WORKSHOP(NEW BLOCL-2) AT GOVT. I.T.I. CAMPUS KADIPUR, DISTRICT-SULTANPUR(U.P.)",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Faizabad II,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SGvCX%2BvdqKzP36lbKs%2BolMA%3D%3D
23,2025_UPRNS_1059933_1,2,"CONSTRUCTION OF MODERN WORKSHOP AND TRAINING ROOM AT GOVT. I.T.I. CAMPUS BANIKODAR, DISTRICT-BARABANKI(U.P.)",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SUFpGvJO9O2KXQfd1ZZonFg%3D%3D
24,2025_UPRNS_1059913_1,2,"CONSTRUCTION OF MODERN WORKSHOP AND TRAINING ROOM AT GOVT. I.T.I. CAMPUS SIRAULI GAUSPUR, DISTRICT-BARABANKI(U.P.)",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SsVPoxCROu42aFwqjhlLBUg%3D%3D
25,2025_UPRNS_1017209_2,2,PROPOSED CONSTRUCTION OF DRISHTIBADHIT GIRLS 75 BEDED HOSTEL (CLASS IST TO 12TH) AT RAMPUR MANIHARAN DISTT-SAHARANPUR,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SvL2%2FiVuObn5MzSYbe5UH7A%3D%3D
26,2025_UPRNS_1010069_4,2,PROPOSED CONSTRUCTION OF BRICK DRAINS INSIDE OF SUB KARAGAR AT DEOBAND DISTRICT- SAHARANPUR (U.P.),Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S4%2Bd%2F1OA4DdVys%2FioPd8UTw%3D%3D
27,2025_UPRNS_1008348_2,2,CONSTRUCTION WORK OF 02 NO. BARRACKS OF 30 CAPACITY EACH (1 NO. GROUND FLOOR AND 1 NO FIRST FLOOR) (TOTAL CAPACITY 60) BY DEMOLISHING OLD BARRACK NO.- 08 IN MEERUT DISTRICT JAIL MEERUT (U.P.),Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,AOC,https://etender.up.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SLt8j8uIYkjzei7iFyCzpvQ%3D%3D
