S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2025_THSTI_851784_1,1,"Fabrication and Supplying of Computer Table and Overhead Storage Cabinet in Dr. Sweet Samal Lab Lab at UG Floor THSTI Building, NCR BSC Faridabad",Translational Health Sci. and Tech. Inst. DoBT||Head Office - THSTI,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SQifmweTNskVS1e9hCd%2FLdw%3D%3D
2,2025_THDC_850112_1,1,"Annual Maintenance work of Bhagirathi Puram internal colony road and spillway road, Tehri",THDC India Limited||Tehri-THDC India Ltd||C and MM-Tehri-THDC India Ltd,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SmXSNjIbUINZGL6mwWTtN7A%3D%3D
3,2025_THDC_849708_1,1,Annual Operation of B. Puram Pumping Station under Bhagirathipuram water supply scheme,THDC India Limited||Tehri-THDC India Ltd||C and MM-Tehri-THDC India Ltd,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8zsAsIUtHKKwaU50UR5J9A%3D%3D
4,2025_SAI_855432_1,1,Repair/upgradation work at various location in SAI RC Gandhinagar Campus,Sports Authority of India||SAI NSWC Gandhinagar,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SbdK40OKTTrhfvm3CuRCR4g%3D%3D
5,2025_NHDC_847209_1,1,"Construction of Organic waste compost machine room at Indira Sagar Power Station, Narmada Nagar.",NHDC Ltd.||Indira Sagar Power Station,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SzKavPTuJr4SRn0SUTK2eEg%3D%3D
6,2025_NHDC_845444_1,1,"Repair / Renovation of K.G.B.V. Type Hostel Singot, G. P. Singot, Block -Pandhana, Distt. Khandwa under CSR of Omkareshwar Power Station",NHDC Ltd.||Omakareshwar Power Station,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SlHK%2FEfW0ZIAgRl1alXUKZA%3D%3D
7,2025_NHDC_844534_1,1,"Repair and Painting of balance portion of H type Quarters of Colony area at Indira Sagar Power Station, Narmada Nagar, Dist. Khandwa (M.P.).",NHDC Ltd.||Indira Sagar Power Station,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SBg13DNBy24C0cS2vX1VqmQ%3D%3D
8,2025_NHDC_844527_1,1,"Cleaning of vertical porous formed drain pipes (Set-A) inside Dam gallery at Indira Sagar Power Station, Narmada Nagar, Khandwa (M.P.).",NHDC Ltd.||Indira Sagar Power Station,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SyOXP0MFwWe74N9cwDZKRKQ%3D%3D
9,2025_NHDC_843182_1,1,"Repair and maintenance of drains in G type and H type residential area, NHDC Colony at ISPS, Narmada Nagar, Khandwa (M.P.).",NHDC Ltd.||Indira Sagar Power Station,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SGXxCrXf1zFHziL9uUVy4ww%3D%3D
10,2025_NHDC_842830_1,1,"Development Of Garden Behind Durga Mandir Of Nhdc Colony Of Indira Sagar Power Station, Narmada Nagar, Distt Khandwa (M.P.).",NHDC Ltd.||Indira Sagar Power Station,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SmM0TcBFYJRlEddk7Cj9Vpw%3D%3D
11,2025_NHDC_842827_1,1,"Maintenance work of road side area from Gate no. 2 to CISF check post and main road area in front of Admin Building at Indira Sagar Power Station, Narmada Nagar, Khandwa (M.P.)",NHDC Ltd.||Indira Sagar Power Station,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SpXnj3bQTTAHhwszsigj97w%3D%3D
12,2025_NHDC_842819_1,1,"Cleaning and Maintenance of slow sand filter plant with cleaning and disinfection of overhead and underground water tanks at Indira Sagar Power Station, Narmada Nagar, Khandwa (M.P.).",NHDC Ltd.||Indira Sagar Power Station,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8tGIC6SeH%2FLaLVOWcMB7KQ%3D%3D
13,2025_NFC_844778_1,1,Facade work for at PFFF Building at NFC-Kota,Nuclear Fuel Complex||Nuclear Fuel Complex Hyderabad||Civil Engineering Division - NFC Hyderabad,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPAvp2igMMvPsC%2B3%2FgLItbw%3D%3D
14,2025_NFC_842712_1,1,"Area development works at NFC Kota Township, Rawatbhata",Nuclear Fuel Complex||Nuclear Fuel Complex Hyderabad||Civil Engineering Division - NFC Hyderabad,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S0xvEbJqnNpkuWGC1fjoBYw%3D%3D
15,2025_NCSM_850906_1,1,"Supply, Installation, Testing and Commissioning of Network Switch 24 Port with 10G Uplink and SFP Transceiver",National Council of Science Museums,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2F8I%2BWFcSiupPcnP9gdlGDQ%3D%3D
16,2025_mptgo_843635_1,1,Providing Security Services at different locations in the Port areas at MPA for a period of two years (2025-2027),Mormugoa Port Trust||Civil Engineering Department,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SbN0sBfLTpPSpiJIAcPiGCw%3D%3D
17,2025_ISMD_846107_1,1,Providing and fixing GI chain link fencing for Old D Quarters at IIT (ISM) Dhanbad,Indian Institute of Technology(ISM) Dhanbad||Administration - ISMD||Purchase and Stores - ISMD,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=StWZywAhfSjxCb8P%2BGqGrFg%3D%3D
18,2025_IITR_848949_1,1,2 SETS OF WATERTUBE TILTMETER,Indian Institute of Technology Roorkee||Material Management - IIT Roorkee,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SufOvQncsDPSOcYuBRO%2Fkzw%3D%3D
19,2025_IITR_847910_1,1,CAMC of Photo Copier Machines,Indian Institute of Technology Roorkee||Material Management - IIT Roorkee,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SxmK%2FC4El9GVQhZV%2BCFtoBA%3D%3D
20,2025_IITR_847524_1,1,Honeycomb Tabletop with Automated Pressure Support and Components,Indian Institute of Technology Roorkee||Material Management - IIT Roorkee,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SpYCdhHlb%2FhnWdZnFZYksLQ%3D%3D
21,2025_IITR_846932_2,2,Bathymetry Solution,Indian Institute of Technology Roorkee||Material Management - IIT Roorkee,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ScS8FS%2BPw99kkp1YaLrTs0w%3D%3D
22,2025_IITR_843001_1,2,Elemental Analyser for automatic determination of C-H-N-S-O,Indian Institute of Technology Roorkee||Material Management - IIT Roorkee,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SmVPxbiofhXl2iEnVQxktdQ%3D%3D
23,2025_IITK_850788_1,2,To run Parlor at shop no. 1 at Girls Hostel - I,Indian Institute of Technology Kanpur||Estate Office - IITK,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SF8ieSVOgWqECo6mqXfC9fg%3D%3D
24,2025_IIMCT_847929_1,2,ED/IIMC/NIT/1/24-25/192,INDIAN INSTITUTE OF MANAGEMENT CALCUTTA,AOC,https://eprocure.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SZM4imbOqEeZeoGpCsTKckA%3D%3D
