Serial Number,Tender ID,Cover No,Cover,Document Type,Description
1,2023_KESCO_795802_1,1,Fee/PreQual/Technical,.pdf,Tender Fee/EMD
1,2023_KESCO_795802_1,,,.pdf,Pre Qualifying Condition
1,2023_KESCO_795802_1,2,Finance,.xls,BOQ
2,2023_KESCO_795832_1,1,Fee/PreQual/Technical,.pdf,Tender Fee/EMD
2,2023_KESCO_795832_1,,,.pdf,Pre Qualifying Conditions
2,2023_KESCO_795832_1,2,Finance,.xls,BOQ
3,2023_PVVNL_815008_3,1,Fee/PreQual/Technical,.pdf,Tender document
3,2023_PVVNL_815008_3,2,Finance,.xls,BOQ
4,2023_PVVNL_815021_3,1,Fee/PreQual/Technical,.pdf,Tender document
4,2023_PVVNL_815021_3,2,Finance,.xls,BOQ
5,2023_RVUNL_798598_1,1,Fee/PreQual/Technical,.pdf,Notice Inviting Tender
5,2023_RVUNL_798598_1,,,.pdf,Tender Document
5,2023_RVUNL_798598_1,2,Finance,.xls,Bill of quantity
6,2024_DOFCS_958381_5,1,Fee/PreQual/Technical,.pdf,.
6,2024_DOFCS_958381_5,2,Finance,.xls,.
7,2024_DOFCS_958387_8,1,Fee/PreQual/Technical,.pdf,.
7,2024_DOFCS_958387_8,2,Finance,.xls,.
8,2024_DOFCS_958390_4,1,Fee/PreQual/Technical,.pdf,.
8,2024_DOFCS_958390_4,2,Finance,.xls,.
9,2024_DOFCS_958396_4,1,Fee/PreQual/Technical,.pdf,.
9,2024_DOFCS_958396_4,2,Finance,.xls,.
10,2024_DOFCS_958411_5,1,Fee/PreQual/Technical,.pdf,.
10,2024_DOFCS_958411_5,2,Finance,.xls,.
11,2024_DOFCS_958425_5,1,Fee/PreQual/Technical,.pdf,.
11,2024_DOFCS_958425_5,2,Finance,.xls,.
12,2024_DOFCS_958428_4,1,Fee/PreQual/Technical,.pdf,.
12,2024_DOFCS_958428_4,2,Finance,.xls,.
13,2024_DOFCS_958444_8,1,Fee/PreQual/Technical,.pdf,.
13,2024_DOFCS_958444_8,2,Finance,.xls,.
14,2024_DOFCS_958446_6,1,Fee/PreQual/Technical,.pdf,.
14,2024_DOFCS_958446_6,2,Finance,.xls,.
15,2024_DOFCS_958462_3,1,Fee/PreQual/Technical,.pdf,.
15,2024_DOFCS_958462_3,2,Finance,.xls,.
16,2024_DOFCS_958467_5,1,Fee/PreQual/Technical,.pdf,.
16,2024_DOFCS_958467_5,2,Finance,.xls,.
17,2024_DOFCS_958484_6,1,Fee/PreQual/Technical,.pdf,.
17,2024_DOFCS_958484_6,2,Finance,.xls,.
18,2024_DOFCS_958509_4,1,Fee/PreQual/Technical,.pdf,.
18,2024_DOFCS_958509_4,2,Finance,.xls,.
19,2024_DOFCS_958517_3,1,Fee/PreQual/Technical,.pdf,.
19,2024_DOFCS_958517_3,2,Finance,.xls,.
20,2024_DOFCS_958526_3,1,Fee/PreQual/Technical,.pdf,.
20,2024_DOFCS_958526_3,2,Finance,.xls,.
