Serial Number,Tender ID,EMD Amount,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1,2023_KESCO_795802_1,"4,72,000",No,fixed,NA,KESCo,Kanpur
2,2023_KESCO_795832_1,"4,72,000",No,fixed,NA,KESCo,Kanpur
3,2023_PVVNL_815008_3,"4,72,000",No,fixed,NA,Superintending Engineer EUDC 1 Ghaziabad,Ghaziabad
4,2023_PVVNL_815021_3,"4,72,000",No,fixed,NA,Superintending Engineer EUDC 1 Ghaziabad,Ghaziabad
5,2023_RVUNL_798598_1,"10,000",No,fixed,NA,"Dy,CAO,CFA and BO, BTPS","Obra, Sonbhadra"
6,2024_DOFCS_958381_5,"15,000",Yes,fixed,NA,rao(food),banda
7,2024_DOFCS_958387_8,"15,000",Yes,fixed,NA,rao(food),banda
8,2024_DOFCS_958390_4,"15,000",Yes,fixed,NA,rao(food),banda
9,2024_DOFCS_958396_4,"15,000",Yes,fixed,NA,rao(food),banda
10,2024_DOFCS_958411_5,"15,000",Yes,fixed,NA,rao(food),banda
11,2024_DOFCS_958425_5,"15,000",Yes,fixed,NA,rao(food),banda
12,2024_DOFCS_958428_4,"15,000",Yes,fixed,NA,rao(food),banda
13,2024_DOFCS_958444_8,"15,000",Yes,fixed,NA,rao(food),banda
14,2024_DOFCS_958446_6,"15,000",Yes,fixed,NA,rao(food),banda
15,2024_DOFCS_958462_3,"15,000",Yes,fixed,NA,rao(food),banda
16,2024_DOFCS_958467_5,"15,000",Yes,fixed,NA,rao(food),banda
17,2024_DOFCS_958484_6,"15,000",Yes,fixed,NA,rao(food),banda
18,2024_DOFCS_958509_4,"15,000",Yes,fixed,NA,rao(food),banda
19,2024_DOFCS_958517_3,"15,000",Yes,fixed,NA,rao(food),banda
20,2024_DOFCS_958526_3,"15,000",Yes,fixed,NA,rao(food),banda
