Serial Number,Tender ID,Instrument Mode,S.No,Instrument Type
1,2023_KESCO_795802_1,Offline,1,RTGS - RTGS Payment
2,2023_KESCO_795832_1,Offline,1,RTGS - RTGS Payment
3,2023_PVVNL_815008_3,Offline,1,RTGS - RTGS Payment
4,2023_PVVNL_815021_3,Offline,1,RTGS - RTGS Payment
5,2023_RVUNL_798598_1,Offline,1,BG - Bank Guarantee
5,2023_RVUNL_798598_1,Offline,2,RTGS - RTGS Payment
6,2024_DOFCS_958381_5,Offline,1,RTGS - RTGS Payment
7,2024_DOFCS_958387_8,Offline,1,RTGS - RTGS Payment
8,2024_DOFCS_958390_4,Offline,1,RTGS - RTGS Payment
9,2024_DOFCS_958396_4,Offline,1,RTGS - RTGS Payment
10,2024_DOFCS_958411_5,Offline,1,RTGS - RTGS Payment
11,2024_DOFCS_958425_5,Offline,1,RTGS - RTGS Payment
12,2024_DOFCS_958428_4,Offline,1,RTGS - RTGS Payment
13,2024_DOFCS_958444_8,Offline,1,RTGS - RTGS Payment
14,2024_DOFCS_958446_6,Offline,1,RTGS - RTGS Payment
15,2024_DOFCS_958462_3,Offline,1,RTGS - RTGS Payment
16,2024_DOFCS_958467_5,Offline,1,RTGS - RTGS Payment
17,2024_DOFCS_958484_6,Offline,1,RTGS - RTGS Payment
18,2024_DOFCS_958509_4,Offline,1,RTGS - RTGS Payment
19,2024_DOFCS_958517_3,Offline,1,RTGS - RTGS Payment
20,2024_DOFCS_958526_3,Offline,1,RTGS - RTGS Payment
