Serial Number,Tender ID,S.No,Document Type,Document Name,Description,Document Size (KB)
1,2023_KESCO_795802_1,1,Tender Documents,ET-03-23-24.pdf,Tender Documents,964.43
1,2023_KESCO_795802_1,2,BOQ,BOQ_1328218.xls,BOQ,316.50
2,2023_KESCO_795832_1,1,Tender Documents,ET-04-23-24.pdf,Tender Documents,938.07
2,2023_KESCO_795832_1,2,BOQ,BOQ_1328238.xls,BOQ,254.00
3,2023_PVVNL_815008_3,1,Tender Documents,doc12ten.pdf,TENDER DOCUMENTS,1586.04
3,2023_PVVNL_815008_3,2,BOQ,BOQ_1862961.xls,BOQ,232.00
4,2023_PVVNL_815021_3,1,Tender Documents,doc13tender.pdf,TENDER DOCUMENTS,1586.18
4,2023_PVVNL_815021_3,2,BOQ,BOQ_1862978.xls,BOQ,220.00
5,2023_RVUNL_798598_1,1,BOQ,BOQ_1334900.xls,Bill of quantity,276.50
6,2024_DOFCS_958381_5,1,Tender Documents,CMRSECOND.pdf,.,5578.22
6,2024_DOFCS_958381_5,2,BOQ,BOQ_1950063.xls,.,240.00
7,2024_DOFCS_958387_8,1,Tender Documents,CMRSECOND.pdf,.,5578.22
7,2024_DOFCS_958387_8,2,BOQ,BOQ_1950065.xls,.,240.00
