Serial Number,Tender ID,Total Fee,Tender Fee,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
1,2023_KESCO_795802_1,"11,800","11,800",KESCo,Kanpur,No
2,2023_KESCO_795832_1,"11,800","11,800",KESCo,Kanpur,No
3,2023_PVVNL_815008_3,"11,800","11,800",Superintending Engineer EUDC 1 Ghaziabad,Ghaziabad,No
4,2023_PVVNL_815021_3,"11,800","11,800",Superintending Engineer EUDC 1 Ghaziabad,Ghaziabad,No
5,2023_RVUNL_798598_1,590,590,"Dy,CAO,CFA and BO, BTPS","Obra,Sonbhadra",No
6,2024_DOFCS_958381_5,590,590,rao(food),banda,Yes
7,2024_DOFCS_958387_8,590,590,rao(food),banda,Yes
8,2024_DOFCS_958390_4,590,590,rao(food),banda,Yes
9,2024_DOFCS_958396_4,590,590,rao(food),banda,Yes
10,2024_DOFCS_958411_5,590,590,rao(food),banda,Yes
11,2024_DOFCS_958425_5,590,590,rao(food),banda,Yes
12,2024_DOFCS_958428_4,590,590,rao(food),banda,Yes
13,2024_DOFCS_958444_8,590,590,rao(food),banda,Yes
14,2024_DOFCS_958446_6,590,590,rao(food),banda,Yes
15,2024_DOFCS_958462_3,590,590,rao(food),banda,Yes
16,2024_DOFCS_958467_5,590,590,rao(food),banda,Yes
17,2024_DOFCS_958484_6,590,590,rao(food),banda,Yes
18,2024_DOFCS_958509_4,590,590,rao(food),banda,Yes
19,2024_DOFCS_958517_3,590,590,rao(food),banda,Yes
20,2024_DOFCS_958526_3,590,590,rao(food),banda,Yes
