Serial Number,Tender ID,Title,Description,PreQualification,IndependentExternalMonitorRemarks,TenderValue,ProductCategory,SubCategory,ContractType,BidValidityDays,PeriodOfWorkDays,Location,Pincode,PreBidMeetingPlace,PreBidMeetingAddress,PreBidMeetingDate,BidOpeningPlace,ShouldAllowNDATender,AllowPreferentialBidder
1,2023_KESCO_795802_1,"For Appointment of Agency for the Advertisement on Electricity Poles of	 Kanpur Electricity Supply Ltd. (KESCo), Kanpur","For Appointment of Agency for the Advertisement on Electricity Poles of	 Kanpur Electricity Supply Ltd. (KESCo), Kanpur",Please refer Tender documents.,NA,NA,,,Tender,,,KESCo Kanpur,,,14/71 Civil Lines KESA House KESCo Kanpur,,,No,
2,2023_KESCO_795832_1,For Appointment of Agency for the Advertisement on designated spaces at 33/11kV Substations,"For Appointment of Agency for the Advertisement on designated spaces at 33/11kV Substations
Of Kanpur Electricity Supply Co. Ltd. (KESCo )",Please refer Tender documents.,NA,NA,,,Tender,,,KESCo Kanpur,,,14/71 Civil Lines KESA House KESCo Kanpur,,,No,
3,2023_PVVNL_815008_3,12/2023-24/EUDC-I/GZB,"Regarding Appointment of Agency for the Advertisement on Electricity Poles of Ghaziabad Zone, Ghaziabad (PVVNL)",PLEASE PRFER DOCUMENTS,NA,"22,42,60,920",,,Tender,,,Ghaziabad,,,NA,,,No,
4,2023_PVVNL_815021_3,13/2023-24/EUDC-I/GZB,"Regarding Appointment of Agency for the Advertisement on designated spaces at 33/11 KV Substations Ghaziabad Zone, Ghaziabad (PVVNL)",PLEASE PREFER TENDER DOCUMENTS,NA,"5,43,60,000",,,Tender,,,Ghaziabad,,,NA,,,No,
5,2023_RVUNL_798598_1,"Work of auction of pond ash from ash dyke situated at village Chakari of Obra TPS, Obra, Sonebhadra.","Work of auction of pond ash from ash dyke situated at village Chakari of Obra TPS, Obra, Sonebhadra.",As per PQC.,NA,NA,,,Tender,,,"UPRVUNL,OBRA,SONBHADRA",,,NA,,,No,
6,2024_DOFCS_958381_5,CMR TRANSPORTITION WORK FROM SANJAY RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,CMR TRANSPORTITION WORK FROM SANJAY RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Please refer Tender documents.,NA,590,,,Tender,,,CMR TRANSPORTITION WORK FROM SANJAY RICE MILL TO,,,NA,,,No,
7,2024_DOFCS_958387_8,CMR TRANSPORTITION WORK FROM KRISHNAM AGRO FOODS RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,CMR TRANSPORTITION WORK FROM KRISHNAM AGRO FOODS RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Please refer Tender documents.,NA,590,,,Tender,,,CMR TRANSPORTITION WORK FROM KRISHNAM AGRO FOODS R,,,NA,,,No,
8,2024_DOFCS_958390_4,CMR TRANSPORTITION WORK FROM JAY SHANKAR INDUSTRIES RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,CMR TRANSPORTITION WORK FROM JAY SHANKAR INDUSTRIES RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Please refer Tender documents.,NA,590,,,Tender,,,CMR TRANSPORTITION WORK FROM JAY SHANKAR INDUSTR,,,NA,,,No,
9,2024_DOFCS_958396_4,CMR TRANSPORTITION WORK FROM SHANKAR RICE AND DALL MILL TO ATTACHED FCI DEPO DISTRICT BANDA,CMR TRANSPORTITION WORK FROM SHANKAR RICE AND DALL MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Please refer Tender documents.,NA,590,,,Tender,,,CMR TRANSPORTITION WORK FROM SHANKAR RICE AND DA,,,NA,,,No,
10,2024_DOFCS_958411_5,CMR TRANSPORTITION WORK FROM NAWAL KISHOR MINI RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,CMR TRANSPORTITION WORK FROM NAWAL KISHOR MINI RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Please refer Tender documents.,NA,590,,,Tender,,,CMR TRANSPORTITION WORK FROM NAWAL KISHOR MINI RIC,,,NA,,,No,
11,2024_DOFCS_958425_5,CMR TRANSPORTITION WORK FROM MAA KALYANI FOODS RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,CMR TRANSPORTITION WORK FROM MAA KALYANI FOODS RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Please refer Tender documents.,NA,590,,,Tender,,,CMR TRANSPORTITION WORK FROM MAA KALYANI FOODS R,,,NA,,,No,
12,2024_DOFCS_958428_4,CMR TRANSPORTITION WORK FROM MAA VAISNO FOODS RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,CMR TRANSPORTITION WORK FROM MAA VAISNO FOODS RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Please refer Tender documents.,NA,590,,,Tender,,,CMR TRANSPORTITION WORK FROM MAA VAISNO FOODS RICE,,,NA,,,No,
13,2024_DOFCS_958444_8,CMR TRANSPORTITION WORK FROM AARYA RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,CMR TRANSPORTITION WORK FROM AARYA RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Please refer Tender documents.,NA,590,,,Tender,,,CMR TRANSPORTITION WORK FROM AARYA RICE MILL TO,,,NA,,,No,
14,2024_DOFCS_958446_6,CMR TRANSPORTITION WORK FROM DABAR DEV RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,CMR TRANSPORTITION WORK FROM DABAR DEV RICE MILL TO ATTACHED FCI DEPO DISTRICT BANDA,Please refer Tender documents.,NA,590,,,Tender,,,CMR TRANSPORTITION WORK FROM DABAR DEV RICE MILL T,,,NA,,,No,
