Serial Number,Title,Organisation,Closing Date,Link
1,"[For Appointment of Agency for the Advertisement on Electricity Poles of	 Kanpur Electricity Supply Ltd. (KESCo), Kanpur]",Kanpur Electricity Supply Company Limited,13-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5KtPsnIUO9toOCwn%2F%2FixtA%3D%3D
2,[For Appointment of Agency for the Advertisement on designated spaces at 33/11kV Substations],Kanpur Electricity Supply Company Limited,13-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SJA25wlzdOmMsPPo61cCkIg%3D%3D
3,[12/2023-24/EUDC-I/GZB],Paschimanchal Vidyut Vitran Nigam Ltd.,24-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5%2FdxLlrO%2FZmNyyHeU%2Fviuw%3D%3D
4,[13/2023-24/EUDC-I/GZB],Paschimanchal Vidyut Vitran Nigam Ltd.,24-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SU%2FgSu%2F2s0nMpO2MWMw4l8w%3D%3D
5,"[Work of auction of pond ash from ash dyke situated at village Chakari of Obra TPS, Obra, Sonebhadra.]",UP Rajya Vidyut Utpadan Nigam Ltd||Obra Thermal Power Project- UPRVUNL- Sonebhadra,15-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SOfFvSwsTQoG99aAl2zQ2Jw%3D%3D
6,[Road improvement work by CC from Parsvanath Halwai to Narendra Gupta via Khuraj Singh and Shri Devi to Anil Kumar and from Vimlesh to Vandana in Ward No. 44 Suhag Nagar 03],Directorate of Local Bodies UP||Firozabad Municipal Corporation,15-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SaDX2puulEaCEDmJ%2FZ%2BoREg%3D%3D
7,[Road construction work by CC drain and CC from Haji Sultan to Ghulam Mohammad house in Ward No. 63 Moh. Chhaparia.],Directorate of Local Bodies UP||Firozabad Municipal Corporation,15-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SVxYCBoj%2FWc3XeEVVv10R0Q%3D%3D
8,[DVVNL-MM/3633-2024],Dakshinanchal Vidyut Vitran Nigam Ltd.,16-Sep-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SCwH7%2FJBESi5dXsZBKPYe6Q%3D%3D
9,"[Development, Operation and Maintenance of the PM MITRA Mega Textile and Apparel Park at Lucknow, Uttar Pradesh through Public Private Partnership (PPP) on Design, Build, Finance, Operate and Transfer (DBFOT) basis.]",PM Mitra Park Uttar Pradesh Limited,10-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SqweCESqGjBHmHx7wrluaTw%3D%3D
10,[53/2023-24/EUDC-I/GZB ],Paschimanchal Vidyut Vitran Nigam Ltd.,23-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SLuvro2GAVcUpmUVzBC2jqg%3D%3D
11,[07/2024-25/EUDC-I/GZB ],Paschimanchal Vidyut Vitran Nigam Ltd.,23-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SjdHLJrSLFqDfB9BNb4QTpg%3D%3D
12,"[Electrification of Village-Lai in Lavkush Kumar Yadav and Village-Mohammadpur Sarai Ali in Anil Kumar in Sansad Nidhi Scheme Against Turnkey Basis under Electricity Distribution Division-Phaphamau, Prayagraj.]",Purvanchal Vidyut Vitran Nigam Limited  Varanasi||Chief Engineer (D) PuVVNL Allahabad,09-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SttcHZ2WR9qtoO%2F8dNvzjWw%3D%3D
13,"[Cleaning, Maintenance and Supply of Essential Goods in the office of SE, EDC-II Prayagraj]",Purvanchal Vidyut Vitran Nigam Limited  Varanasi||Chief Engineer (D) PuVVNL Allahabad,09-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SEuYM%2F1DygVTkL4YA2GRPoA%3D%3D
14,[Construction work of road and drain in slums of Shahdara.],Agra Development Authority,15-Sep-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S9FWmSUudu1nWfto2k%2B2WZA%3D%3D
